CHEMBL_ID	TID	PREF_NAME	PROTEIN_ACCESSION	TARGET_TYPE	ORGANISM	COMPOUNDS	ENDPOINTS
CHEMBL3108632	107992	Transient receptor potential cation channel subfamily M member 8	Q8R4D5	SINGLE PROTEIN	Mus musculus	51	156
CHEMBL3414407	109590	Apoptosis regulator BAX	Q07813	SINGLE PROTEIN	Mus musculus	1	1
CHEMBL3562170	109766	Acid-sensing ion channel 1	P55926	SINGLE PROTEIN	Rattus norvegicus	1	3
CHEMBL2321614	105603	Potassium channel subfamily K member 9	Q9NPC2	SINGLE PROTEIN	Homo sapiens	126	145
CHEMBL3714486	116447	Potassium channel subfamily K member 4	Q9NYG8	SINGLE PROTEIN	Homo sapiens	2	2
CHEMBL3714706	116666	Transient receptor potential cation channel subfamily M member 7	Q923J1	SINGLE PROTEIN	Mus musculus	370	407
CHEMBL3885514	117058	Apoptosis regulator BAX/Bcl-2-related protein A1	Q07812, Q16548	PROTEIN-PROTEIN INTERACTION	Homo sapiens	1	1
CHEMBL3885581	117125	Glutamate receptor AMPA 3/4	P42263, P48058	PROTEIN COMPLEX	Homo sapiens	3	3
CHEMBL3883292	117006	Glutamate receptor AMPA 2/4	P19491, P19493	PROTEIN COMPLEX	Rattus norvegicus	1	2
CHEMBL3886124	117216	Transient receptor potential cation channel subfamily M member 5	Q9JJH7	SINGLE PROTEIN	Mus musculus	1	4
CHEMBL2472	11191	GABA receptor alpha-4 subunit	P48169	SINGLE PROTEIN	Homo sapiens	7	7
CHEMBL2492	10635	Neuronal acetylcholine receptor protein alpha-7 subunit	P36544	SINGLE PROTEIN	Homo sapiens	1120	1976
CHEMBL1972	166	Glutamate [NMDA] receptor subunit epsilon 1	Q12879	SINGLE PROTEIN	Homo sapiens	37	37
CHEMBL2072	18043	Sodium channel protein type IV alpha subunit	P35499	SINGLE PROTEIN	Homo sapiens	321	452
CHEMBL2104	10410	P2X purinoceptor 4	Q99571	SINGLE PROTEIN	Homo sapiens	135	267
CHEMBL2670	12970	P2X purinoceptor 6	O15547	SINGLE PROTEIN	Homo sapiens	3	3
CHEMBL3595	10429	Glutamate receptor ionotropic, AMPA 3	P42263	SINGLE PROTEIN	Homo sapiens	64	95
CHEMBL3986	100669	GABA receptor subunit	Q75NA5	SINGLE PROTEIN	Musca domestica	59	76
CHEMBL4041	12547	Glutamate receptor ionotropic kainate 5	Q63273	SINGLE PROTEIN	Rattus norvegicus	17	17
CHEMBL4747	10634	Neuronal acetylcholine receptor subunit alpha-6	P43143	SINGLE PROTEIN	Rattus norvegicus	23	59
CHEMBL4403	12794	Ryanodine receptor 2	Q92736	SINGLE PROTEIN	Homo sapiens	55	63
CHEMBL5102	11978	Vanilloid receptor	O35433	SINGLE PROTEIN	Rattus norvegicus	1696	3230
CHEMBL4808	10819	Acetylcholine receptor protein alpha chain	P02708	SINGLE PROTEIN	Homo sapiens	45	63
CHEMBL4972	10630	Serotonin 3a (5-HT3a) receptor	P23979	SINGLE PROTEIN	Mus musculus	51	124
CHEMBL5107	18058	Voltage-gated N-type calcium channel alpha-1B subunit	Q02294	SINGLE PROTEIN	Rattus norvegicus	89	137
CHEMBL5132	100442	Vanilloid receptor 1	Q6R5A3	SINGLE PROTEIN	Cavia porcellus	3	6
CHEMBL5158	101093	Sodium channel protein type X alpha subunit	Q6QIY3	SINGLE PROTEIN	Mus musculus	81	85
CHEMBL5160	101095	Transient receptor potential cation channel subfamily A member 1	Q6RI86	SINGLE PROTEIN	Rattus norvegicus	367	890
CHEMBL5279	100114	Voltage-gated potassium channel subunit Kv1.6	P17658	SINGLE PROTEIN	Homo sapiens	6	6
CHEMBL5557	101236	Potassium voltage-gated channel subfamily H member 2	O08703	SINGLE PROTEIN	Cavia porcellus	22	22
CHEMBL5558	100101	Voltage-gated T-type calcium channel alpha-1I subunit	Q9P0X4	SINGLE PROTEIN	Homo sapiens	200	239
CHEMBL5505	100999	Calcium-activated potassium channel subunit alpha-1	Q62976	SINGLE PROTEIN	Rattus norvegicus	68	98
CHEMBL6190	102798	Voltage-dependent anion-selective channel protein 2	P45880	SINGLE PROTEIN	Homo sapiens	1	1
CHEMBL1628478	103797	Chloride channel protein 2	P51788	SINGLE PROTEIN	Homo sapiens	0	0
CHEMBL2096673	104828	Small conductance calcium-activated potassium channel	P70604, P70605, P70606	PROTEIN FAMILY	Rattus norvegicus	162	253
CHEMBL1907590	104284	Neuronal acetylcholine receptor; alpha2/beta4	P12389, P12392	PROTEIN COMPLEX	Rattus norvegicus	168	189
CHEMBL2096617	104810	Glutamate receptor ionotropic, AMPA	P23818, P23819, Q9Z2W8, Q9Z2W9	PROTEIN COMPLEX GROUP	Mus musculus	105	167
CHEMBL2093871	104687	Glutamate receptor ionotropic, AMPA	P19490, P19491, P19492, P19493	PROTEIN COMPLEX GROUP	Rattus norvegicus	1304	2047
CHEMBL2096683	104838	Benzodiazepine receptors; peripheral & central	O09028, P15431, P16257, P18506, P18508, P19969, P20236, P23574, P23576, P28471, P28473, P30191, P62813, P63079, P63138, Q91ZM7, Q9ES14	SELECTIVITY GROUP	Rattus norvegicus	41	79
CHEMBL2111364	105119	Large conductance calcium-activated potassium channel	Q28067, Q28204	PROTEIN COMPLEX	Bos taurus	15	44
CHEMBL2111435	104950	Annexin A2/S100-A10	P07355, P60903	PROTEIN-PROTEIN INTERACTION	Homo sapiens	91	199
CHEMBL2095229	104801	Voltage-gated L-type calcium channel	O60840, Q01668, Q13698, Q13936	PROTEIN FAMILY	Homo sapiens	217	290
CHEMBL1932894	104398	Matrix protein 2	P06821	SINGLE PROTEIN	Influenza A virus (strain A/Puerto Rico/8/1934 H1N1)	3	3
CHEMBL1907596	104290	Neuronal acetylcholine receptor; alpha4/beta2	P09483, P12390	PROTEIN COMPLEX	Rattus norvegicus	2120	3284
CHEMBL311	12103	Glutamate [NMDA] receptor subunit epsilon 2	Q00960	SINGLE PROTEIN	Rattus norvegicus	480	745
CHEMBL3430901	109658	Voltage-dependent N-type calcium channel subunit alpha-1B/Voltage-dependent calcium channel subunit alpha-2/delta-1/Voltage-dependent L-type calcium channel subunit beta-3	P54284, P54289, Q00975	PROTEIN COMPLEX	Homo sapiens	1	2
CHEMBL3616352	109872	Voltage-gated sodium channel alpha subunit Nav1.1	Q68V28	SINGLE PROTEIN	Mus musculus	7	7
CHEMBL3621034	109898	Potassium voltage-gated channel subfamily KQT member 4	Q9JK96	SINGLE PROTEIN	Rattus norvegicus	1	2
CHEMBL3038461	107887	Nicotinic acetylcholine receptor alpha4/beta2/alpha5	P17787, P30532, P43681	PROTEIN COMPLEX	Homo sapiens	52	114
CHEMBL3038480	107906	Ionotropic glutamate receptor kainate 2/5	Q13002, Q16478	PROTEIN COMPLEX	Homo sapiens	2	2
CHEMBL3038495	107921	Calcium-activated potassium channel alpha/beta 1	Q12791, Q16558	PROTEIN COMPLEX	Homo sapiens	8	32
CHEMBL3780	10991	Small conductance calcium-activated potassium channel protein 3	P70605	SINGLE PROTEIN	Rattus norvegicus	119	206
CHEMBL1075183	103112	Potassium channel subfamily K member 2	Q8HY88	SINGLE PROTEIN	Bos taurus	7	7
CHEMBL303	11921	Glutamate [NMDA] receptor subunit epsilon 4	Q62645	SINGLE PROTEIN	Rattus norvegicus	57	57
CHEMBL2146347	105174	Inward rectifier potassium channel 4	P48050	SINGLE PROTEIN	Homo sapiens	6	6
CHEMBL2146349	105176	Inward rectifier potassium channel 13	O60928	SINGLE PROTEIN	Homo sapiens	6	6
CHEMBL2311231	105584	Vesicle-fusing ATPase	P46459	SINGLE PROTEIN	Homo sapiens	4	4
CHEMBL2363032	105734	Voltage-gated calcium channel	O00305, O00555, O43497, O60359, O60840, O95180, P54284, P54289, P62955, Q00975, Q01668, Q02641, Q06432, Q08289, Q13698, Q13936, Q15878, Q7Z3S7, Q8IZS8, Q8WXS5, Q9BXT2, Q9NY47, Q9P0X4, Q9UBN1, Q9UF02, Q9Y698	PROTEIN COMPLEX GROUP	Homo sapiens	49	51
CHEMBL2364025	106004	GABA-A receptor	E0V9W2, E0VY07, E0W492	PROTEIN COMPLEX GROUP	Pediculus humanus	0	0
CHEMBL3988641	117295	Voltage-gated sodium channel	O08562, O88420, O88457, P04774, P04775, P08104, P15389, P15390, P97706, Q62968	PROTEIN FAMILY	Rattus norvegicus	17	17
CHEMBL3832643	116891	Kir3.1/Kir3.4	P48548, P63251	PROTEIN COMPLEX	Rattus norvegicus	436	436
CHEMBL3885573	117117	Gamma-aminobutyric acid receptor subunit alpha-3/ beta-3/gamma-3	P28472, P34903, Q99928	PROTEIN COMPLEX	Homo sapiens	1	2
CHEMBL3885576	117120	Gamma-aminobutyric acid receptor subunit alpha-5/beta-2	P31644, P47870	PROTEIN COMPLEX	Homo sapiens	3	6
CHEMBL3883285	116999	Bcl-xL/BH3-interacting domain death agonist	P55957, Q07817	PROTEIN-PROTEIN INTERACTION	Homo sapiens	4	4
CHEMBL3883287	117001	Bcl-xL/Bcl-2-like protein 11	O43521, Q07817	PROTEIN-PROTEIN INTERACTION	Homo sapiens	38	38
CHEMBL3988611	117271	Cystic fibrosis transmembrane conductance regulator	G3H9J3	SINGLE PROTEIN	Cricetulus griseus	34	36
CHEMBL2496	10540	P2X purinoceptor 7	Q64663	SINGLE PROTEIN	Rattus norvegicus	855	1380
CHEMBL2529	10513	Voltage-gated L-type calcium channel alpha-1C subunit	Q01815	SINGLE PROTEIN	Mus musculus	7	9
CHEMBL2531	10537	P2X purinoceptor 2	Q9UBL9	SINGLE PROTEIN	Homo sapiens	33	48
CHEMBL1866	12930	Voltage-gated potassium channel subunit Kv7.1	P51787	SINGLE PROTEIN	Homo sapiens	72	105
CHEMBL1884	5	Nicotinic acetylcholine receptor alpha subunit	O96760	SINGLE PROTEIN	Ascaris suum	0	0
CHEMBL1899	144	Serotonin 3a (5-HT3a) receptor	P46098	SINGLE PROTEIN	Homo sapiens	1216	1556
CHEMBL1940	169	Voltage-gated L-type calcium channel alpha-1C subunit	Q13936	SINGLE PROTEIN	Homo sapiens	375	500
CHEMBL1964	11153	Voltage-gated potassium channel subunit Kv4.3	Q9UK17	SINGLE PROTEIN	Homo sapiens	67	73
CHEMBL3190	12615	Glutamate receptor ionotropic, AMPA 4	P48058	SINGLE PROTEIN	Homo sapiens	145	238
CHEMBL2818	11949	P2X purinoceptor 4	P51577	SINGLE PROTEIN	Rattus norvegicus	92	101
CHEMBL3011	12715	Acetylcholine receptor protein delta chain	Q07001	SINGLE PROTEIN	Homo sapiens	7	14
CHEMBL3461	11890	Neuronal acetylcholine receptor protein alpha-10 subunit	Q9JLB5	SINGLE PROTEIN	Rattus norvegicus	53	53
CHEMBL3572	10517	Cholesteryl ester transfer protein	P11597	SINGLE PROTEIN	Homo sapiens	1383	2186
CHEMBL3744	12900	Glutamate receptor ionotropic kainate 3	P42264	SINGLE PROTEIN	Rattus norvegicus	134	170
CHEMBL4132	10515	Voltage-gated L-type calcium channel alpha-1D subunit	P27732	SINGLE PROTEIN	Rattus norvegicus	310	336
CHEMBL4187	18072	Sodium channel protein type II alpha subunit	Q99250	SINGLE PROTEIN	Homo sapiens	209	394
CHEMBL4641	100100	Voltage-gated T-type calcium channel alpha-1G subunit	O43497	SINGLE PROTEIN	Homo sapiens	775	1146
CHEMBL4469	10394	Small conductance calcium-activated potassium channel protein 2	Q9H2S1	SINGLE PROTEIN	Homo sapiens	17	19
CHEMBL4478	10511	Voltage-gated N-type calcium channel alpha-1B subunit	Q00975	SINGLE PROTEIN	Homo sapiens	509	606
CHEMBL4956	12770	GABA receptor alpha-2 subunit	P47869	SINGLE PROTEIN	Homo sapiens	105	205
CHEMBL5254	100443	Vanilloid receptor 1	Q697L1	SINGLE PROTEIN	Canis lupus familiaris	1	1
CHEMBL5530	100117	Voltage-gated potassium channel subunit Kv7.2	O88943	SINGLE PROTEIN	Rattus norvegicus	149	155
CHEMBL5496	100870	P2X purinoceptor 1	P51576	SINGLE PROTEIN	Mus musculus	62	68
CHEMBL1075182	103126	Bcl-2-like protein 1	P53563	SINGLE PROTEIN	Rattus norvegicus	1	1
CHEMBL6183	102460	Neuronal acetylcholine receptor subunit alpha-6	Q9R0W9	SINGLE PROTEIN	Mus musculus	1	1
CHEMBL1628477	103796	Amiloride-sensitive cation channel 2, neuronal	P78348	SINGLE PROTEIN	Homo sapiens	8	41
CHEMBL2579	11463	GABA receptor alpha-6 subunit	Q16445	SINGLE PROTEIN	Homo sapiens	1	1
CHEMBL5885	102706	Potassium voltage-gated channel subfamily D member 2	Q9NZV8	SINGLE PROTEIN	Homo sapiens	12	12
CHEMBL2009	11114	Glutamate receptor ionotropic, AMPA 1	P42261	SINGLE PROTEIN	Homo sapiens	127	232
CHEMBL2096670	104825	Glutamate receptor ionotropic AMPA	P42261, P42262, P42263, P48058	PROTEIN COMPLEX GROUP	Homo sapiens	122	151
CHEMBL2095167	104752	GABA-A receptor; alpha-1/beta-2/gamma-2	P18508, P62813, P63138	PROTEIN COMPLEX	Rattus norvegicus	263	529
CHEMBL2096904	104841	Serotonin (5-HT) receptor	A5X5Y0, O95264, P08908, P28221, P28222, P28223, P28335, P28566, P30939, P34969, P41595, P46098, P47898, P50406, Q13639, Q70Z44, Q8WXA8	PROTEIN FAMILY	Homo sapiens	41	63
CHEMBL2109244	104905	GABA-A receptor; agonist GABA site	P14867, P18505, P28472, P31644, P34903, P47869, P47870, P48169, Q16445	PROTEIN COMPLEX GROUP	Homo sapiens	97	140
CHEMBL2111384	105076	Nicotinic acetylcholine receptor alpha3/betaX	P11230, P17787, P30926, P32297, Q05901	PROTEIN COMPLEX GROUP	Homo sapiens	42	45
CHEMBL2096911	104848	Glutamate NMDA receptor; Grin1/Grin2c	P35439, Q00961	PROTEIN COMPLEX	Rattus norvegicus	490	716
CHEMBL2107836	104888	Amiloride-sensitive sodium channel, ENaC	P37088, P51168, P51170	PROTEIN COMPLEX	Homo sapiens	6	6
CHEMBL1907597	104291	GABA-A receptor; GABA-A site (alpha1/beta2 interface)	P14867, P47870	PROTEIN COMPLEX	Homo sapiens	34	100
CHEMBL3585	18056	Sodium channel protein type VII alpha subunit	Q01118	SINGLE PROTEIN	Homo sapiens	1	1
CHEMBL2362997	105709	Muscle-type nicotinic acetylcholine receptor	P02708, P07510, P11230, Q04844, Q07001	PROTEIN COMPLEX GROUP	Homo sapiens	3	3
CHEMBL2363050	105745	Glutamate-gated chloride channel	P91730	SINGLE PROTEIN	Strongyloides stercoralis	0	0
CHEMBL2363052	105747	Glycine receptor (alpha-1/beta)	P23415, P48167	PROTEIN COMPLEX	Homo sapiens	0	0
CHEMBL3308971	109259	Annexin A1	P46193	SINGLE PROTEIN	Bos taurus	1	1
CHEMBL2417348	107641	Short transient receptor potential channel 3	Q13507	SINGLE PROTEIN	Homo sapiens	25	27
CHEMBL3137270	108126	Cav1.3/Cav beta3/Cav alpha2delta complex	P27732, P54287, P54290	PROTEIN COMPLEX	Rattus norvegicus	1	1
CHEMBL3350224	109086	Nicotinic acetylcholine receptor	P91764, Q5F2K1, Q5F2K2, Q5F2K3, Q91765, Q9NFX8, Q9U940, Q9U941	PROTEIN COMPLEX GROUP	Myzus persicae	4	4
CHEMBL2150833	105184	Neuronal acetylcholine receptor subunit alpha-7	Q866A2	SINGLE PROTEIN	Macaca mulatta	1	2
CHEMBL2429705	107661	Potassium voltage-gated channel subfamily A member 1	P16388	SINGLE PROTEIN	Mus musculus	3	12
CHEMBL3392921	109556	Glycine receptor	P07727, P20781, P22771, P24524	PROTEIN COMPLEX GROUP	Rattus norvegicus	869	1742
CHEMBL3600276	109852	P2X purinoceptor	A9QW74	SINGLE PROTEIN	Cavia porcellus	1	1
CHEMBL3600277	109853	P2X7 purinoceptor	Q64F92	SINGLE PROTEIN	Canis lupus familiaris	1	1
CHEMBL3600280	109856	Voltage-dependent T-type calcium channel subunit alpha-1H	O88427	SINGLE PROTEIN	Mus musculus	1	1
CHEMBL2321617	105606	Potassium voltage-gated channel subfamily C member 1	P25122	SINGLE PROTEIN	Rattus norvegicus	2	2
CHEMBL3885570	117114	Gamma-aminobutyric acid receptor subunit alpha-1/ beta-1	P14867, P18505	PROTEIN COMPLEX	Homo sapiens	4	5
CHEMBL3885572	117116	Gamma-aminobutyric acid receptor subunit alpha-3/ beta-2	P34903, P47870	PROTEIN COMPLEX	Homo sapiens	3	6
CHEMBL3883288	117002	Bcl-xL/Bcl-2-binding component 3	Q07817, Q9BXH1	PROTEIN-PROTEIN INTERACTION	Homo sapiens	4	4
CHEMBL2328	12571	Glycine receptor subunit alpha-2	P22771	SINGLE PROTEIN	Rattus norvegicus	2	32
CHEMBL2530	10536	P2X purinoceptor 1	P47824	SINGLE PROTEIN	Rattus norvegicus	33	43
CHEMBL2585	10024	Neuronal acetylcholine receptor protein alpha-9 subunit	P43144	SINGLE PROTEIN	Rattus norvegicus	13	14
CHEMBL1791	132	Amiloride-sensitive sodium channel alpha-subunit	P37088	SINGLE PROTEIN	Homo sapiens	42	42
CHEMBL1845	131	Sodium channel protein type I alpha subunit	P35498	SINGLE PROTEIN	Homo sapiens	85	160
CHEMBL2133	10290	Ryanodine receptor 1	E9PZQ0	SINGLE PROTEIN	Mus musculus	4	15
CHEMBL2184	10636	Neuronal acetylcholine receptor protein alpha-9 subunit	Q9UGM1	SINGLE PROTEIN	Homo sapiens	1	1
CHEMBL2846	10865	Inositol 1,4,5-trisphosphate receptor type 3	Q63269	SINGLE PROTEIN	Rattus norvegicus	3	14
CHEMBL3044	12572	Glutamate receptor ionotropic kainate 4	Q01812	SINGLE PROTEIN	Rattus norvegicus	2	2
CHEMBL3381	12500	Small conductance calcium-activated potassium channel protein 3	Q9UGI6	SINGLE PROTEIN	Homo sapiens	50	101
CHEMBL3388	12392	Ryanodine receptor 2	B0LPN4	SINGLE PROTEIN	Rattus norvegicus	1	1
CHEMBL3399	10559	Sodium channel protein type II alpha subunit	P04775	SINGLE PROTEIN	Rattus norvegicus	146	182
CHEMBL3500	17118	Glycine receptor alpha-4 chain	Q61603	SINGLE PROTEIN	Mus musculus	5	5
CHEMBL3683	12378	Glutamate receptor ionotropic kainate 2	Q13002	SINGLE PROTEIN	Homo sapiens	188	340
CHEMBL3684	11223	Glutamate receptor ionotropic kainate 3	Q13003	SINGLE PROTEIN	Homo sapiens	26	33
CHEMBL3992	12450	Cystic fibrosis transmembrane conductance regulator	P34158	SINGLE PROTEIN	Rattus norvegicus	28	67
CHEMBL4138	11158	Voltage-gated L-type calcium channel alpha-1D subunit	Q01668	SINGLE PROTEIN	Homo sapiens	29	36
CHEMBL4266	18016	Voltage-gated P/Q-type calcium channel alpha-1A subunit	O00555	SINGLE PROTEIN	Homo sapiens	3	3
CHEMBL4306	10198	Voltage-gated potassium channel subunit Kv1.5	P22460	SINGLE PROTEIN	Homo sapiens	996	1199
CHEMBL4625	100217	Apoptosis regulator Bcl-X	Q07817	SINGLE PROTEIN	Homo sapiens	1436	2027
CHEMBL4805	10417	P2X purinoceptor 7	Q99572	SINGLE PROTEIN	Homo sapiens	3111	4997
CHEMBL5011	101263	Transient receptor potential cation channel subfamily M member 8	Q8R455	SINGLE PROTEIN	Rattus norvegicus	282	622
CHEMBL5134	18074	Voltage-gated T-type calcium channel alpha-1H subunit	Q9EQ60	SINGLE PROTEIN	Rattus norvegicus	1	1
CHEMBL5135	10011	Voltage-gated potassium channel subunit Kv7.1	O70344	SINGLE PROTEIN	Cavia porcellus	47	54
CHEMBL2096666	104821	Glutamate NMDA receptor; Grin1/Grin2b	P35439, Q00960	PROTEIN COMPLEX	Rattus norvegicus	630	699
CHEMBL1907587	104281	Neuronal acetylcholine receptor; alpha3/beta2	P04757, P12390	PROTEIN COMPLEX	Rattus norvegicus	225	254
CHEMBL1628469	103788	Transient receptor potential cation channel subfamily M member 4	Q8TD43	SINGLE PROTEIN	Homo sapiens	1	1
CHEMBL2109241	104902	Glutamate receptor ionotropic kainate	P39086, Q13002, Q13003, Q16099, Q16478	PROTEIN COMPLEX GROUP	Homo sapiens	60	67
CHEMBL2094132	104714	Serotonin 3 (5-HT3) receptor	A5X5Y0, O95264, P46098, Q70Z44, Q8WXA8	PROTEIN COMPLEX GROUP	Homo sapiens	437	604
CHEMBL1914275	104371	Sodium channel protein type 8 subunit alpha	Q9WTU3	SINGLE PROTEIN	Mus musculus	6	8
CHEMBL2111339	105038	GABA A receptor alpha-3/beta-2/gamma-2	P18507, P34903, P47870	PROTEIN COMPLEX	Homo sapiens	46	70
