CHEMBL_ID	TID	PREF_NAME	PROTEIN_ACCESSION	TARGET_TYPE	ORGANISM	COMPOUNDS	ENDPOINTS
CHEMBL5634	102469	Corticotropin releasing hormone receptor 2	B8Q4Z9	SINGLE PROTEIN	Sus scrofa	2	2
CHEMBL1075101	103151	G-protein coupled receptor 81	Q9BXC0	SINGLE PROTEIN	Homo sapiens	195	338
CHEMBL5647	101266	Gonadotropin-releasing hormone receptor	Q8SPZ1	SINGLE PROTEIN	Macaca mulatta	7	9
CHEMBL5857	101361	Trace amine-associated receptor 1	Q96RJ0	SINGLE PROTEIN	Homo sapiens	665	1295
CHEMBL1075263	102807	C-C chemokine receptor type 5	P61814	SINGLE PROTEIN	Macaca fascicularis	18	19
CHEMBL1293204	103651	C-C chemokine receptor type 2	O55193	SINGLE PROTEIN	Rattus norvegicus	7	8
CHEMBL1293206	103653	Neuropeptide Y-Y2 receptor	O70424	SINGLE PROTEIN	Rattus norvegicus	3	3
CHEMBL1770037	104129	fMet-Leu-Phe receptor	P33766	SINGLE PROTEIN	Mus musculus	4	4
CHEMBL1169599	103469	Metastin receptor	Q924U1	SINGLE PROTEIN	Rattus norvegicus	104	140
CHEMBL1293316	103749	Relaxin receptor 1	Q9HBX9	SINGLE PROTEIN	Homo sapiens	5124	6059
CHEMBL1795146	104226	C-C chemokine receptor type 5	O08556	SINGLE PROTEIN	Rattus norvegicus	1	1
CHEMBL1907609	104303	Muscarinic acetylcholine receptor	P08482, P08483, P08485, P08911, P10980	PROTEIN FAMILY	Rattus norvegicus	1456	3641
CHEMBL1949486	104456	Prokineticin receptor 1	Q9JKL1	SINGLE PROTEIN	Mus musculus	1	1
CHEMBL2010631	104499	C-X-C chemokine receptor type 7	P25106	SINGLE PROTEIN	Homo sapiens	585	624
CHEMBL2095166	104751	Adrenergic receptor beta	P10608, P18090, P26255	PROTEIN FAMILY	Rattus norvegicus	436	686
CHEMBL2095187	104771	Muscarinic acetylcholine receptors; M2 & M3	P08172, P20309	SELECTIVITY GROUP	Homo sapiens	449	484
CHEMBL2094117	104699	Adenosine A2 receptor	P29276, P30543	PROTEIN FAMILY	Rattus norvegicus	1192	1828
CHEMBL2097162	104873	Muscarinic acetylcholine receptor	P12657, P32211, Q920H4, Q9ERZ3, Q9ERZ4	PROTEIN FAMILY	Mus musculus	51	85
CHEMBL1914263	104359	Sphingosine 1-phosphate receptor 1	P48303	SINGLE PROTEIN	Rattus norvegicus	12	20
CHEMBL2111338	105037	Alpha-2 adrenergic receptor	P30545, Q01337, Q01338	PROTEIN FAMILY	Mus musculus	53	120
CHEMBL2111383	105075	Serotonin receptor 2a and 2c (5HT2A and 5HT2C)	P08909, P14842	SELECTIVITY GROUP	Rattus norvegicus	139	162
CHEMBL2111385	105077	Cannabinoid receptor	P20272, Q9QZN9	PROTEIN FAMILY	Rattus norvegicus	86	114
CHEMBL1795124	104204	Muscarinic acetylcholine receptor M1	P56489	SINGLE PROTEIN	Macaca mulatta	1	1
CHEMBL1926498	104393	Prostaglandin E2 receptor EP4 subtype	Q28691	SINGLE PROTEIN	Oryctolagus cuniculus	2	2
CHEMBL2111476	105004	Alpha adrenergic receptor 1A and 1B	P15823, P43140	SELECTIVITY GROUP	Rattus norvegicus	130	134
CHEMBL2014	138	Nociceptin receptor	P41146	SINGLE PROTEIN	Homo sapiens	1781	3359
CHEMBL3430884	109641	Sphingosine 1-phosphate receptor Edg-5/Sphingosine 1-phosphate receptor Edg-3	O95136, Q99500	PROTEIN COMPLEX	Homo sapiens	2	2
CHEMBL3559680	109735	Sphingosine-1-phosphate receptor 1	W5VNF7	SINGLE PROTEIN	Canis lupus familiaris	4	7
CHEMBL3707466	109997	5-hydroxytryptamine receptor 1B	P46636	SINGLE PROTEIN	Cricetulus griseus	53	106
CHEMBL329	12807	Type-1A angiotensin II receptor	P25095	SINGLE PROTEIN	Rattus norvegicus	165	220
CHEMBL2176792	105367	Trace amine-associated receptor 7b	Q5QD11	SINGLE PROTEIN	Mus musculus	2	2
CHEMBL2176850	105425	Chemokine receptor	Q9MYJ9	SINGLE PROTEIN	Oryctolagus cuniculus	1	1
CHEMBL5951	102733	Neuropeptide FF receptor 1	Q9GZQ6	SINGLE PROTEIN	Homo sapiens	144	336
CHEMBL226	114	Adenosine A1 receptor	P30542	SINGLE PROTEIN	Homo sapiens	7700	13100
CHEMBL218	87	Cannabinoid CB1 receptor	P21554	SINGLE PROTEIN	Homo sapiens	8306	13634
CHEMBL3259471	108312	G-protein coupled receptor 183	Q3U6B2	SINGLE PROTEIN	Mus musculus	22	44
CHEMBL3191	10868	Leukotriene B4 receptor 2	Q9NPC1	SINGLE PROTEIN	Homo sapiens	6	6
CHEMBL2304408	105571	Serotonin 1b (5-HT1b) receptor	Q9N2B7	SINGLE PROTEIN	Gorilla gorilla	7	7
CHEMBL3102689	107989	G-protein coupled receptor 119	G7Q3P2	SINGLE PROTEIN	Macaca fascicularis	1	2
CHEMBL273	10576	Serotonin 1a (5-HT1a) receptor	P19327	SINGLE PROTEIN	Rattus norvegicus	5809	8487
CHEMBL4792	12968	Orexin receptor 2	O43614	SINGLE PROTEIN	Homo sapiens	4007	6479
CHEMBL1075061	102580	Muscarinic receptor 2	Q8VH27	SINGLE PROTEIN	Cavia porcellus	59	115
CHEMBL3337331	109484	Orexin receptor type 2	Q9TUP7	SINGLE PROTEIN	Canis familiaris	1	1
CHEMBL3309047	109188	Free fatty acid receptor 2	Q8VCK6	SINGLE PROTEIN	Mus musculus	4	5
CHEMBL2384890	107593	G-protein coupled receptor	Q2A652	SINGLE PROTEIN	Canis familiaris	27	27
CHEMBL2150839	105190	Succinate receptor 1	Q6IYF9	SINGLE PROTEIN	Rattus norvegicus	6	6
CHEMBL3297639	108391	Probable G-protein coupled receptor 52	Q9Y2T5	SINGLE PROTEIN	Homo sapiens	17	34
CHEMBL3309101	109430	Free fatty acid receptor 3	Q3UFD7	SINGLE PROTEIN	Mus musculus	1	3
CHEMBL3321651	109463	P2Y purinoceptor 13	Q9BPV8	SINGLE PROTEIN	Homo sapiens	2	2
CHEMBL3714079	116040	G-protein coupled receptor 84	Q9NQS5	SINGLE PROTEIN	Homo sapiens	386	511
CHEMBL3751659	116716	Free fatty acid receptor 1	Q76JV1	SINGLE PROTEIN	Macaca fascicularis	1	2
CHEMBL3714703	116663	Taste receptor type 2 member 105	Q9JKT4	SINGLE PROTEIN	Mus musculus	1	1
CHEMBL2291	100817	G protein-coupled receptor 44	Q9Z2J6	SINGLE PROTEIN	Mus musculus	43	45
CHEMBL1784	11758	Glucagon-like peptide 1 receptor	P43220	SINGLE PROTEIN	Homo sapiens	105748	108818
CHEMBL1804	117	Somatostatin receptor 2	P30874	SINGLE PROTEIN	Homo sapiens	916	1202
CHEMBL1810	260	Thyrotropin-releasing hormone receptor	P34981	SINGLE PROTEIN	Homo sapiens	266	310
CHEMBL1832	119	Calcitonin receptor	P30988	SINGLE PROTEIN	Homo sapiens	891	1803
CHEMBL216	61	Muscarinic acetylcholine receptor M1	P11229	SINGLE PROTEIN	Homo sapiens	4504	7767
CHEMBL1917	12786	Somatostatin receptor 1	P30872	SINGLE PROTEIN	Homo sapiens	677	808
CHEMBL1925	147	Secretin receptor	P47872	SINGLE PROTEIN	Homo sapiens	4	9
CHEMBL2183	10622	Serotonin 4 (5-HT4) receptor	P97288	SINGLE PROTEIN	Mus musculus	6	7
CHEMBL319	12514	Alpha-1a adrenergic receptor	P43140	SINGLE PROTEIN	Rattus norvegicus	1841	3270
CHEMBL2806	11259	Endothelin receptor ET-A	P21450	SINGLE PROTEIN	Bos taurus	14	15
CHEMBL2854	11524	Cholecystokinin B receptor	P56481	SINGLE PROTEIN	Mus musculus	641	765
CHEMBL3037	10501	Cannabinoid CB1 receptor	P47746	SINGLE PROTEIN	Mus musculus	322	534
CHEMBL3799	19903	Neurokinin 3 receptor	P30098	SINGLE PROTEIN	Cavia porcellus	59	83
CHEMBL3943	17074	Histamine H1 receptor	P31389	SINGLE PROTEIN	Cavia porcellus	1166	1989
CHEMBL3309	12017	Neuropeptide Y receptor type 2	Q9ERC0	SINGLE PROTEIN	Rattus norvegicus	62	62
CHEMBL266	10364	Alpha-2b adrenergic receptor	P19328	SINGLE PROTEIN	Rattus norvegicus	77	94
CHEMBL3374	12806	Angiotensin II type 1a (AT-1a) receptor	P25104	SINGLE PROTEIN	Bos taurus	352	440
CHEMBL3433	20126	Neurokinin 2 receptor	P79218	SINGLE PROTEIN	Oryctolagus cuniculus	192	215
CHEMBL3453	17115	Bradykinin B2 receptor	Q28642	SINGLE PROTEIN	Oryctolagus cuniculus	28	28
CHEMBL3581	12995	Corticotropin releasing factor receptor 2	P47866	SINGLE PROTEIN	Rattus norvegicus	8	8
CHEMBL3710	10329	Prostanoid EP3 receptor	P43115	SINGLE PROTEIN	Homo sapiens	1075	1584
CHEMBL3759	11290	Histamine H4 receptor	Q9H3N8	SINGLE PROTEIN	Homo sapiens	1765	3083
CHEMBL246	226	Beta-3 adrenergic receptor	P13945	SINGLE PROTEIN	Homo sapiens	2602	5218
CHEMBL4029	11574	Interleukin-8 receptor A	P25024	SINGLE PROTEIN	Homo sapiens	1269	2237
CHEMBL4030	12272	Beta-3 adrenergic receptor	P25962	SINGLE PROTEIN	Mus musculus	1	1
CHEMBL4075	10655	Alpha-2a adrenergic receptor	Q01338	SINGLE PROTEIN	Mus musculus	1	1
CHEMBL264	10280	Histamine H3 receptor	Q9Y5N1	SINGLE PROTEIN	Homo sapiens	4193	6671
CHEMBL4259	100288	Human herpesvirus 5 chemokine receptor	P69332	SINGLE PROTEIN	Human cytomegalovirus (strain AD169) (HHV-5) (Human herpesvirus 5)	38	84
CHEMBL4297	18065	Serotonin 1d (5-HT1d) receptor	Q61224	SINGLE PROTEIN	Mus musculus	28	46
CHEMBL4308	11156	Bradykinin B1 receptor	P46663	SINGLE PROTEIN	Homo sapiens	972	1443
CHEMBL4398	11907	Purinergic receptor P2Y2	P41231	SINGLE PROTEIN	Homo sapiens	476	805
CHEMBL4419	100428	Purinergic receptor P2Y2	P41232	SINGLE PROTEIN	Rattus norvegicus	4	4
CHEMBL4440	12812	Neuromedin B receptor	P24053	SINGLE PROTEIN	Rattus norvegicus	51	51
CHEMBL4595	100435	Lysophosphatidic acid receptor Edg-2	P61794	SINGLE PROTEIN	Rattus norvegicus	26	46
CHEMBL4608	11006	Melanocortin receptor 5	P33032	SINGLE PROTEIN	Homo sapiens	2176	3921
CHEMBL4781	10439	Muscarinic acetylcholine receptor M2	P06199	SINGLE PROTEIN	Sus scrofa	189	449
CHEMBL4815	10686	Neurokinin 2 receptor	P05363	SINGLE PROTEIN	Bos taurus	10	10
CHEMBL4827	10233	Neuropeptide Y receptor type 4	Q63447	SINGLE PROTEIN	Rattus norvegicus	1	1
CHEMBL5006	101258	G-protein coupled receptor 12	P47775	SINGLE PROTEIN	Homo sapiens	5	5
CHEMBL5201	100866	Free fatty acid receptor 3	O14843	SINGLE PROTEIN	Homo sapiens	82	86
CHEMBL5144	100334	Vasoactive intestinal polypeptide receptor 1	P32241	SINGLE PROTEIN	Homo sapiens	915	1800
CHEMBL5162	101097	Neuropeptide S receptor	Q6W5P4	SINGLE PROTEIN	Homo sapiens	15061	15772
CHEMBL5299	101145	Histamine receptor H3	Q865E1	SINGLE PROTEIN	Macaca mulatta	145	215
CHEMBL5548	101227	Prokineticin receptor 2	Q8NFJ6	SINGLE PROTEIN	Homo sapiens	3	8
CHEMBL5799	101562	Mu-type opioid receptor	Q9MYW9	SINGLE PROTEIN	Macaca mulatta	1	2
CHEMBL1075315	103163	C-X-C chemokine receptor type 5	P32302	SINGLE PROTEIN	Homo sapiens	156	175
CHEMBL1075111	103037	Bombesin receptor subtype-3	Q8K418	SINGLE PROTEIN	Rattus norvegicus	39	78
CHEMBL5700	101505	Lysophosphatidic acid receptor 5	Q9H1C0	SINGLE PROTEIN	Homo sapiens	140	193
CHEMBL5952	102734	Neuropeptide FF receptor 2	Q9Y5X5	SINGLE PROTEIN	Homo sapiens	142	330
CHEMBL1075232	102935	Orexin receptor 1	P56718	SINGLE PROTEIN	Rattus norvegicus	417	1103
CHEMBL6038	101423	Parathyroid hormone receptor	P25961	SINGLE PROTEIN	Rattus norvegicus	14	14
CHEMBL1075269	102815	Adenosine A3 receptor	Q61618	SINGLE PROTEIN	Mus musculus	72	110
CHEMBL6080	101431	Smoothened homolog	P56726	SINGLE PROTEIN	Mus musculus	354	876
CHEMBL1075290	102841	Glucagon-like peptide 1 receptor	O35659	SINGLE PROTEIN	Mus musculus	4	4
CHEMBL1777664	104147	Probable G-protein coupled receptor 160	Q9UJ42	SINGLE PROTEIN	Homo sapiens	1	1
CHEMBL1255160	103571	Histamine H4 receptor	Q91ZY3	SINGLE PROTEIN	Cavia porcellus	7	11
CHEMBL1628461	103780	Oxoeicosanoid receptor 1	Q8TDS5	SINGLE PROTEIN	Homo sapiens	51	87
CHEMBL1649052	103848	C-C motif chemokine 2	P13500	SINGLE PROTEIN	Homo sapiens	38	76
CHEMBL1275217	103584	C-C motif chemokine 5	P13501	SINGLE PROTEIN	Homo sapiens	34	38
CHEMBL2096676	104831	Adrenergic receptors; alpha-1 A & B	P35348, P35368	SELECTIVITY GROUP	Homo sapiens	209	290
CHEMBL1671613	103900	Type-1 angiotensin II receptor	Q9WV26	SINGLE PROTEIN	Cavia porcellus	75	86
CHEMBL1628472	103791	Relaxin-3 receptor 1	Q9NSD7	SINGLE PROTEIN	Homo sapiens	13	17
CHEMBL2093868	104684	Dopamine receptor	P18901, P19020, P25115, P30729, P61169	PROTEIN FAMILY	Rattus norvegicus	745	1302
CHEMBL2095169	104754	Dopamine receptors; D2 & D3	P14416, P35462	SELECTIVITY GROUP	Homo sapiens	530	635
CHEMBL2095192	104776	Opioid receptor	O55242, P32300, P33534, P42866	PROTEIN FAMILY	Mus musculus	175	338
CHEMBL2094112	104694	Angiotensin II receptor	P25095, P29089, P35351	PROTEIN FAMILY	Rattus norvegicus	1081	1735
CHEMBL2095154	104739	Melatonin receptor	P49285, P49288, P51050	PROTEIN FAMILY	Gallus gallus	356	567
CHEMBL2095156	104741	Opioid receptors; mu & kappa	P35372, P41145	SELECTIVITY GROUP	Homo sapiens	605	822
CHEMBL2095159	104744	Serotonin 1 (5-HT1) receptor	P19327, P28564, P28565, P30940	PROTEIN FAMILY	Rattus norvegicus	365	401
CHEMBL2097169	104880	Adrenergic receptor beta; ADRB1 & ADRB3	P08588, P13945	SELECTIVITY GROUP	Homo sapiens	175	200
CHEMBL2109245	104906	Dopamine D2 receptor/Serotonin 2 (5-HT2) receptor	P34968, P35363, P61168, Q02152	SELECTIVITY GROUP	Mus musculus	81	105
CHEMBL2111191	104910	Adrenomedullin receptor, AM2; CALCRL/RAMP3	O60896, Q16602	PROTEIN COMPLEX	Homo sapiens	1	1
CHEMBL2094250	104722	Angiotensin II receptor (AT-1) type-1	P25095, P29089	PROTEIN FAMILY	Rattus norvegicus	1042	1480
CHEMBL2094251	104723	Adrenergic receptor alpha-1	P25100, P35348, P35368	PROTEIN FAMILY	Homo sapiens	626	775
CHEMBL2096622	104815	Vasopressin receptor	P30560, P48974, Q00788	PROTEIN FAMILY	Rattus norvegicus	193	377
CHEMBL2111334	105033	Cholecystokinin receptor	O08786, P56481	PROTEIN FAMILY	Mus musculus	84	88
CHEMBL2111388	105082	Beta-2 adrenergic receptor and beta-3 adrenergic receptor	P07550, P13945	SELECTIVITY GROUP	Homo sapiens	151	172
CHEMBL2095200	104784	Serotonin 2 (5-HT2) receptor	P28223, P28335, P41595	PROTEIN FAMILY	Homo sapiens	236	280
CHEMBL2096970	104850	Dopamine receptor	P20288, Q95136	PROTEIN FAMILY	Bos taurus	94	254
CHEMBL2095213	104790	Adenosine receptors; A2a & A3	P0DMS8, P29274	SELECTIVITY GROUP	Homo sapiens	298	373
CHEMBL2095219	104795	Muscarinic acetylcholine receptors; M1 & M2	P08172, P11229	SELECTIVITY GROUP	Homo sapiens	261	361
CHEMBL1926495	104390	Trace amine-associated receptor 1	Q8HZ64	SINGLE PROTEIN	Macaca mulatta	20	20
CHEMBL1938219	104430	Neuropeptides B/W receptor type 1	P49681	SINGLE PROTEIN	Mus musculus	41	82
CHEMBL1955712	104466	Vasoactive intestinal polypeptide receptor 1	P30083	SINGLE PROTEIN	Rattus norvegicus	43	86
CHEMBL237	137	Kappa opioid receptor	P41145	SINGLE PROTEIN	Homo sapiens	6689	12353
CHEMBL1916	218	Alpha-2c adrenergic receptor	P18825	SINGLE PROTEIN	Homo sapiens	1648	3205
CHEMBL2064	10227	GABA-B receptor 1	Q9UBS5	SINGLE PROTEIN	Homo sapiens	23	28
CHEMBL3085618	107966	Probable G-protein coupled receptor 132	Q9UNW8	SINGLE PROTEIN	Homo sapiens	1	1
CHEMBL3301381	108395	Serotonin 1B/1D receptor	P28564, P28565	PROTEIN FAMILY	Rattus norvegicus	2	2
CHEMBL4127	10587	Platelet activating factor receptor	P46002	SINGLE PROTEIN	Rattus norvegicus	322	380
CHEMBL3559687	109742	Frizzled-5	Q13467	SINGLE PROTEIN	Homo sapiens	0	0
CHEMBL3559689	109744	Frizzled-8	Q9H461	SINGLE PROTEIN	Homo sapiens	0	0
CHEMBL3708691	110652	5-hydroxytryptamine receptor 1B	P28334	SINGLE PROTEIN	Mus musculus	2	2
CHEMBL3038478	107904	Dopamine receptor D2L/neurotensin receptor NTS1	P14416, P30989	PROTEIN COMPLEX	Homo sapiens	1	1
CHEMBL3243907	108294	Oxytocin receptor	P97926	SINGLE PROTEIN	Mus musculus	2	3
CHEMBL4104	17105	Serotonin 1b (5-HT1b) receptor	P79399	SINGLE PROTEIN	Sus scrofa	1	1
CHEMBL1836	262	Prostanoid EP4 receptor	P35408	SINGLE PROTEIN	Homo sapiens	1018	1768
CHEMBL2238	11262	Somatostatin receptor 3	P30935	SINGLE PROTEIN	Mus musculus	39	102
CHEMBL4468	10360	Histamine H4 receptor	Q91ZY1	SINGLE PROTEIN	Rattus norvegicus	166	331
CHEMBL2366519	106663	G-protein coupled receptor	Q9NG02	SINGLE PROTEIN	Apis mellifera	1	1
CHEMBL3309106	109435	Taste receptor type 2 member 16	Q9NYV7	SINGLE PROTEIN	Homo sapiens	1	2
CHEMBL3309108	109437	Taste receptor type 2 member 41	P59536	SINGLE PROTEIN	Homo sapiens	1	1
CHEMBL2434819	107669	Orexin receptor type 1	P58307	SINGLE PROTEIN	Mus musculus	3	3
CHEMBL3596079	109841	Cysteinyl leukotriene receptor 2	Q2NNR4	SINGLE PROTEIN	Cavia porcellus	6	6
CHEMBL3038518	107946	mu/kappa opioid receptor	P41144, P97266	PROTEIN FAMILY	Cavia porcellus	10	10
CHEMBL3784908	116770	Trace amine-associated receptor 5	Q5QD14	SINGLE PROTEIN	Mus musculus	4	4
CHEMBL3714081	116042	Psychosine receptor	Q8IYL9	SINGLE PROTEIN	Homo sapiens	2	2
CHEMBL2286	12863	Endothelin receptor ET-A	Q61614	SINGLE PROTEIN	Mus musculus	30	31
CHEMBL2350	12743	Alpha-2a adrenergic receptor	P18871	SINGLE PROTEIN	Sus scrofa	3	3
CHEMBL2373	12679	C5a anaphylatoxin chemotactic receptor	P21730	SINGLE PROTEIN	Homo sapiens	715	1170
CHEMBL2467	10041	Thyrotropin-releasing hormone receptor	P21761	SINGLE PROTEIN	Mus musculus	50	139
CHEMBL2490	10621	Serotonin 2a (5-HT2a) receptor	P50129	SINGLE PROTEIN	Sus scrofa	145	150
CHEMBL1790	112	Vasopressin V2 receptor	P30518	SINGLE PROTEIN	Homo sapiens	933	1463
CHEMBL1792	11265	Somatostatin receptor 5	P35346	SINGLE PROTEIN	Homo sapiens	981	1316
CHEMBL1821	214	Muscarinic acetylcholine receptor M4	P08173	SINGLE PROTEIN	Homo sapiens	2224	4054
CHEMBL250	251	Platelet activating factor receptor	P25105	SINGLE PROTEIN	Homo sapiens	1425	2541
CHEMBL1889	134	Vasopressin V1a receptor	P37288	SINGLE PROTEIN	Homo sapiens	2064	3379
CHEMBL223	103	Alpha-1d adrenergic receptor	P25100	SINGLE PROTEIN	Homo sapiens	2386	3746
CHEMBL3156	12480	Thromboxane A2 receptor	P34978	SINGLE PROTEIN	Rattus norvegicus	185	199
CHEMBL3197	10648	Muscarinic acetylcholine receptor M2	Q9ERZ4	SINGLE PROTEIN	Mus musculus	46	85
CHEMBL3278	11556	Ghrelin receptor	O08725	SINGLE PROTEIN	Rattus norvegicus	105	180
CHEMBL2592	12854	Adenosine A2b receptor	P29276	SINGLE PROTEIN	Rattus norvegicus	132	176
CHEMBL320	12566	Muscarinic acetylcholine receptor M3	P08483	SINGLE PROTEIN	Rattus norvegicus	405	532
CHEMBL2822	12271	Alpha-1a adrenergic receptor	P97718	SINGLE PROTEIN	Mus musculus	3	3
CHEMBL3066	10274	Gonadotropin-releasing hormone receptor	P30969	SINGLE PROTEIN	Rattus norvegicus	1171	1801
